item,itemLabel,position,positionLabel,startDate,endDate,psid
Q1741653,"Nicholas True, Baron True",Q108046681,Minister of State at the Cabinet Office,2020-02-14,,Q1741653-A3CA9807-FCC2-409F-9752-ED804E7A4F3A
Q180589,Boris Johnson,Q3315116,Minister for the Civil Service,2019-07-24,,Q180589-22f84501-4154-f133-0f1d-3e61f3edd4ee
Q180589,Boris Johnson,Q14211,Prime Minister,2019-07-24,,Q180589-40c674a8-4cbe-09e0-72ac-7fb866cdc5a0
Q180589,Boris Johnson,Q609884,First Lord of the Treasury,2019-07-25,,Q180589-53c102e6-4da6-2f30-1940-bbeb0a084557
Q180589,Boris Johnson,Q65988624,Minister for the Union,2019-07-26,,Q180589-5f082af7-4b01-48ee-4ae1-4135d66c611d
Q18210190,Baroness Evans of Bowes Park,Q2012061,Leader of the House of Lords,2016-07-14,,Q18210190-5abda2e8-4dbd-cf9e-78c9-afc9b987e513
Q18210190,Baroness Evans of Bowes Park,Q910308,Lord Privy Seal,2016-07-14,,Q18210190-7429da65-452c-3d10-503f-4e8356a403ec
Q19957769,Suella Braverman,Q2631987,Attorney General,2021-09-10,,Q19957769-ba5d0c91-45bf-0ff2-5e49-79ed4ac53ffc
Q20127929,Johnny Mercer,Q23641739,Minister of State (Minister for Veterans’ Affairs) at the Cabinet Office,2022-07-07,,Q20127929-DF5C328D-7297-4FEA-8098-9D56D3FACACB
Q20648244,Anne-Marie Trevelyan,Q25863345,Secretary of State for International Trade and President of the Board of Trade,2021-09-15,,Q20648244-45859737-B131-4B55-9018-11B712521147
Q258292,Nigel Adams,Q108046681,Minister of State (Minister without Portfolio),2021-09-15,,Q258292-B77AB047-26D2-4794-BED8-5EAE3FEFD080
Q258586,Nadine Dorries,Q3297079,"Secretary of State for Digital, Culture, Media and Sport",2021-09-15,,Q258586-3B5C9E4F-9261-4700-92A5-B7D63C260029
Q259361,Nadhim Zahawi,Q531471,Chancellor of the Exchequer,2022-07-05,,Q259361-9d0a0e66-409d-9b33-c220-e0cdd2d300c5
Q260546,Steve Barclay,Q3397406,Secretary of State for Health and Social Care,2022-07-05,,Q260546-C26B02EB-890F-4E2A-BF6E-2F3E7EDEBAA3
Q263166,Ben Wallace,Q2747647,Secretary of State for Defence,2019-07-24,,Q263166-7993fb77-429a-d8e9-7979-00664614fb0a
Q267234,Shailesh Vara,Q1369302,Secretary of State for Northern Ireland,2022-07-07,,Q267234-E2FEB89F-EF45-4F0E-B1EB-46BD569685EF
Q268584,Dominic Raab,Q1507619,Deputy Prime Minister,2021-09-15,,Q268584-06169dd7-4c8e-9cc3-a2c0-ecd023280002
Q268584,Dominic Raab,Q3477307,Secretary of State for Justice,2021-09-15,,Q268584-4ac1a9de-48c9-2d01-564b-9d260d49c7da
Q268584,Dominic Raab,Q217217,Lord Chancellor,2021-09-15,,Q268584-dc1548d4-4bf2-96bf-5b16-52d4c63e5c14
Q269853,Robert Buckland,Q1846384,Secretary of State for Wales,2022-07-07,,Q269853-AF7218CF-4DF2-43E0-8CAD-39A5A35558FC
Q271800,Greg Clark,Q11781526,"Secretary of State for Levelling Up, Housing and Communities",2022-07-07,,Q271800-A94B1ABB-68F7-43E3-855F-B3FCF08DCC5C
Q272201,Elizabeth Truss,Q1371091,"Secretary of State for Foreign, Commonwealth and Development Affairs",2021-09-15,,Q272201-831ae41b-411f-c6aa-4d11-8a162a7a6a1c
Q272201,Elizabeth Truss,Q3315134,Minister for Women and Equalities,2019-09-10,,Q272201-94ffc1ab-43e1-d330-3cab-2d727a2aece4
Q290554,Thérèse Coffey,Q7444357,Secretary of State for Work and Pensions,2019-09-08,,Q290554-528bcb34-44fa-37d9-8262-3d86fbd0061d
Q30165682,Alister Jack,Q111784,Secretary of State for Scotland,2019-07-24,,Q30165682-a0602052-4868-7d07-333f-cc031984387c
Q30228118,Simon Clarke,Q5096927,Chief Secretary to the Treasury,2021-09-15,,Q30228118-E51C528E-0072-4330-B9E0-183D9213186C
Q303085,Michael Ellis,Q1060844,Paymaster General,2021-09-16,,Q303085-13D1A598-1296-4C68-B873-A25D52108BC5
Q303085,Michael Ellis,Q6865995,Minister for the Cabinet Office,2022-02-08,,Q303085-ED63B9FF-0787-45BE-97DB-E154C08A0C9C
Q303510,George Eustice,Q14984399,"Secretary of State for Environment, Food and Rural Affairs",2020-02-13,,Q303510-6ce5fda7-4984-4c9f-6fb9-3752cb67e9ec
Q341570,Andrew Stephenson,Q61412205,Minister without Portfolio,2022-07-07,,Q341570-76c37c6f-4141-f196-e9d1-e3ab7dd2fe49
Q389189,Mark Spencer,Q943379,Lord President of the Council,2022-02-08,,Q389189-690E5660-13F1-445A-BC10-D8CFAD9E9D26
Q389189,Mark Spencer,Q2636053,Leader of the House of Commons,2022-02-08,,Q389189-B8070A74-6B46-4F71-8204-B9AC5AC1797F
Q478531,Alok Sharma,Q108045009,COP26 President,2020-02-13,,Q478531-70ABDD8F-19CC-4A4D-AAD3-8B37FD34A74B
Q478596,Grant Shapps,Q3246797,Secretary of State for Transport,2019-07-24,,Q478596-ec799617-4c4c-b4ad-cf7c-6f0f47767499
Q574980,Jacob Rees-Mogg,Q110856030,Minister of State (Minister for Brexit Opportunities and Government Efficiency),2022-02-08,,Q574980-3BB21C58-55AB-45DF-AF27-5F9D5079076B
Q575733,Priti Patel,Q2484309,Secretary of State for the Home Department,2019-07-24,,Q575733-2b95d8db-41b3-b0c0-372e-7a79f9116810
Q6131460,James Cleverly,Q3477306,Secretary of State for Education,2022-07-07,,Q6131460-5BEA7D41-2047-418C-883E-EACB97725060
Q6417459,Kit Malthouse,Q162754,Chancellor of the Duchy of Lancaster,2022-07-07,,Q6417459-52f468a8-4e1e-ae20-e1e2-7d082318a833
Q673322,Chris Heaton-Harris,Q7139041,Parliamentary Secretary to the Treasury (Chief Whip),2022-02-08,,Q673322-DA531D61-D5AC-4F9C-B60D-D3DF80A3740F
Q750204,Kwasi Kwarteng,Q3858507,"Secretary of State for Business, Energy and Industrial Strategy",2021-01-08,,Q750204-b9054947-4669-87aa-d445-522f745a795a
